OBJECTID,access_id,station_id,access_point_name,location_type,x,y
270,"geom:37.45533,-122.18296",menlo_park,Menlo Park,2,-122.18296,37.45533
271,"geom:37.45516,-122.18271",menlo_park,Menlo Park,2,-122.18271,37.45516
272,"geom:37.45536,-122.18337",menlo_park,Menlo Park,2,-122.18337,37.45536
273,"geom:37.48617,-122.23219",redwood_city,Redwood City,2,-122.23219,37.48617
274,"geom:37.48636,-122.23257",redwood_city,Redwood City,2,-122.23257,37.48636
275,"geom:37.48589,-122.23186",redwood_city,Redwood City,2,-122.23186,37.48589
276,"geom:37.48522,-122.23071",redwood_city,Redwood City,2,-122.23071,37.48522
277,"geom:37.48537,-122.23061",redwood_city,Redwood City,2,-122.23061,37.48537
278,"geom:37.48651,-122.23241",redwood_city,Redwood City,2,-122.23241,37.48651
279,"geom:37.48632,-122.23213",redwood_city,Redwood City,2,-122.23213,37.48632
280,"geom:37.48531,-122.23054",redwood_city,Redwood City,2,-122.23054,37.48531
281,"geom:37.48573,-122.23116",redwood_city,Redwood City,2,-122.23116,37.48573
282,"geom:37.50781,-122.25980",san_carlos,San Carlos,2,-122.2598,37.50781
283,"geom:37.50763,-122.25960",san_carlos,San Carlos,2,-122.2596,37.50763
284,"geom:37.50786,-122.26027",san_carlos,San Carlos,2,-122.26027,37.50786
285,"geom:37.50767,-122.26002",san_carlos,San Carlos,2,-122.26002,37.50767
286,"geom:37.50775,-122.26007",san_carlos,San Carlos,2,-122.26007,37.50775
287,"geom:37.50835,-122.26045",san_carlos,San Carlos,2,-122.26045,37.50835
